ID;palavra;categoria;número de sílabas;classificação por número de sílabas;acento;tipo de acento;peso palavra;dificuldade
85;toxina;irregulares;3.0;Trissílaba;0.0;;5.0;fácil
86;anexo;irregulares;2.0;Dissílaba;0.0;;4.0;fácil
87;asfixia;irregulares;3.0;Trissílaba;0.0;;5.0;fácil
88;sintaxe;irregulares;3.0;Trissílaba;0.0;;5.0;fácil
89;léxico;irregulares;3.0;Trissílaba;1.0;agudo (´);6.0;difícil
90;dureza;irregulares;3.0;Trissílaba;0.0;;5.0;fácil
91;certeza;irregulares;3.0;Trissílaba;0.0;;5.0;fácil
92;beleza;irregulares;3.0;Trissílaba;0.0;;5.0;fácil
93;riqueza;irregulares;3.0;Trissílaba;0.0;;5.0;fácil
94;agulha;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;fácil
95;alho;dígrafo consonantal;1.0;Monossílaba;0.0;;4.0;fácil
96;aranha;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;fácil
97;banho;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;fácil
98;barriga;dígrafo consonantal;3.0;Trissílaba;0.0;;6.0;difícil
99;burro;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;fácil
100;cachorro;dígrafo consonantal;3.0;Trissílaba;0.0;;6.0;difícil
101;caminho;dígrafo consonantal;3.0;Trissílaba;0.0;;6.0;difícil
102;chamada;dígrafo consonantal;3.0;Trissílaba;0.0;;6.0;difícil
103;chave;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;fácil
104;chão;dígrafo consonantal;1.0;Monossílaba;1.0;til (~);5.0;fácil
105;chefe;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;fácil
106;chocolate;dígrafo consonantal;4.0;Polissílaba;0.0;;7.0;muito difícil
107;choro;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;fácil
108;chuva;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;fácil
109;chuveiro;dígrafo consonantal;3.0;Trissílaba;0.0;;6.0;difícil
110;coelho;dígrafo consonantal;3.0;Trissílaba;0.0;;6.0;difícil
111;corrida;dígrafo consonantal;3.0;Trissílaba;0.0;;6.0;difícil
112;ferro;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;fácil
113;filho;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;fácil
114;folha;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;fácil
115;galho;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;fácil
116;galinha;dígrafo consonantal;3.0;Trissílaba;0.0;;6.0;difícil
117;garrafa;dígrafo consonantal;3.0;Trissílaba;0.0;;6.0;difícil
118;joelho;dígrafo consonantal;3.0;Trissílaba;0.0;;6.0;difícil
119;lhama;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;fácil
120;linha;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;fácil
121;manhã;dígrafo consonantal;2.0;Dissílaba;1.0;til (~);6.0;difícil
122;milho;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;fácil
123;minha;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;médio
124;ninho;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;médio
125;olho;dígrafo consonantal;1.0;Monossílaba;0.0;;4.0;fácil
126;orelha;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;médio
127;palha;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;médio
128;serra;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;médio
129;sonho;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;médio
130;telha;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;médio
131;terra;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;médio
132;torre;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;médio
133;velho;dígrafo consonantal;2.0;Dissílaba;0.0;;5.0;médio
134;amor;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
135;anel;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
136;animal;sílabas CVC;2.0;Dissílaba;0.0;;6.0;difícil
137;azul;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
138;bem;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
139;cal;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
140;calor;sílabas CVC;2.0;Dissílaba;0.0;;6.0;difícil
141;cantar;sílabas CVC;2.0;Dissílaba;0.0;;6.0;difícil
142;comer;sílabas CVC;2.0;Dissílaba;0.0;;6.0;difícil
143;cor;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
144;dor;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
145;falar;sílabas CVC;2.0;Dissílaba;0.0;;6.0;difícil
146;favor;sílabas CVC;2.0;Dissílaba;0.0;;6.0;difícil
147;faz;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
148;fim;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
149;funil;sílabas CVC;2.0;Dissílaba;0.0;;6.0;difícil
150;jardim;sílabas CVC;2.0;Dissílaba;0.0;;6.0;difícil
151;luz;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
